Date,Irritation (0-10),Closeness (1-10),Razor,Blade,Use,Preshave,Soap,Post-shave,Brush,Passes,Water (1-5),Nicks/Burn,Bow Lather,Notes,Notes (add.)
7/12/2020,7,8,Merkur 23C,Nacet,3,Proraso Green,Proraso - Red,Not tracked,Maggards,"WTG, XATG, XATG",3,1,Not tracked,,
7/13/2020,7,6,Merkur 23C,Kai,1,Proraso Green,Stirling - Bay Rum,Not tracked,Maggards,2.5,4,,Not tracked,Marco,
7/14/2020,3,7,Merkur 23C,Feather,1,Proraso Green,Pre de Provence - 63,Not tracked,Maggards,3,4,,Not tracked,"Marco, long handle",
7/15/2020,3,6,Merkur 23C,Feather,2,Proraso Green,Stirling - Black Cherry,Not tracked,Maggards,3--2,4,,Not tracked,"Marco, long handle","Redness on face, likely caused by menthol drops."
7/16/2020,2,7,Merkur 23C,Feather,3,Proraso Green,Zingari Man - Magician,Not tracked,Maggards,3--2,3.5,,Not tracked,"Marco, long handle",
7/17/2020,1.5,7.5,Merkur 23C,Gillette 7 O'Clock SS,1,Proraso Green,A&E - L'Orange Verte,Not tracked,Maggards,3--2,3.5,,Not tracked,"Marco, long handle",Excellent shave
7/18/2020,2,7,Merkur 23C,Gillette 7 O'Clock SS,2,Proraso Green,Stirling - Bay Rum,Not tracked,Stirling,3--2,3,,Not tracked,"Marco, long handle",
7/19/2020,2,7,Merkur 23C,Nacet,1,Proraso Green,Pre de Provence - 63,Not tracked,Maggards,3--2,4,1,Not tracked,"Marco, long handle",Razor burn
7/21/2020,3,7,Merkur 23C,Nacet,2,Proraso Green,A&E - L'Orange Verte,Not tracked,Maggards,3--2,4,,Not tracked,"Marco, long handle",ingrown hair from last time
7/22/2020,2,7,Merkur 23C,Gillette 7 O'Clock SS,1,Proraso Green,Stirling - Varen,Not tracked,Stirling,3--2,4,,Not tracked,"Marco, long handle",
7/23/2020,1,6,Merkur 23C,Gillette 7 O'Clock SS,2,Proraso Green,A&E - Uno,Not tracked,Maggards,3--2--1,3,,Not tracked,"Marco, long handle",
7/24/2020,2,7,Merkur 23C,Gillette 7 O'Clock SS,3,Proraso Green,Zingari Man - Magician,Not tracked,Maggards,3--2--1,4,,Not tracked,"Marco, long handle",
7/25/2020,1.5,7,Merkur 23C,Gillette 7 O'Clock Sharp Edge,1,Proraso White,CB - Le Pimente de la Vie,"Witch Hazel, Proraso White",Maggards,3--2--1,4,,Not tracked,"Marco, long handle",Outstanding lather
7/26/2020,1.5,6.5,Merkur 23C,Gillette 7 O'Clock Sharp Edge,2,Proraso White,Dr. Harris - Lavender,"Proraso green splash, DSC",Maggards,3--2--1,3,,Not tracked,"Marco, long handle",
7/27/2020,2,7,Merkur 23C,Gillette 7 O'Clock Sharp Edge,3,Proraso Green,Proraso - Green,"Proraso green splash, Proraso Green",Maggards,3--3--2,3,,Not tracked,"Marco, long handle","Irritation, likely due to menthol. Selling menthol gear. Pimple."
7/28/2020,4,7,Merkur 23C,Gillette 7 O'Clock SS,1,Proraso White,CB - Le Pimente de la Vie,"Proraso green splash, DSC",Maggards,3--3--2,3.5,,Not tracked,"Marco, long handle",
7/29/2020,2,6.5,Merkur 23C,Gillette 7 O'Clock SS,2,Proraso Green,A&E - Uno,"Thayer's, DSC",Maggards,3--3--2,3,,Not tracked,"Marco, long handle, bowl",
7/30/2020,4,6.5,Merkur 23C,Gillette 7 O'Clock SS,3,Proraso White,Stirling - Black Cherry,"Thayer's, DSC",Maggards,3--3--2,2.5,,Not tracked,"Marco, long handle",Cheeks were red
7/31/2020,2,7,Merkur 23C,Astra SP,1,,Stirling - Black Cherry,"Thayer's, DSC","AP Shave Co, Synbad",3--3--2,3,,Not tracked,"Marco, long handle",Cheeks were red. Possibly due to face wash.
8/1/2020,3,7,Merkur 23C,Astra SP,2,,Stirling - Black Cherry,"Fine Platinum, DSC",Maggards,3--3--2,3,,Not tracked,"Marco, long handle","Cheeks were red, even with different face wash"
8/2/2020,5,7.5,Maggard V3A + MR5,Astra SP,1,,Stirling - Varen,"Proraso Green splash, DSC",Maggards,3--3--2,3.5,,Not tracked,Marco,2 weepers
